p1		p2	
5685	PSMA4	5715	PSMD9
3937	LCP2	5335	PLCG1
3937	LCP2	7294	TXK
3937	LCP2	695	BTK
3937	LCP2	2885	GRB2
3937	LCP2	9402	GRAP2
3937	LCP2	5336	PLCG2
3937	LCP2	7409	VAV1
3937	LCP2	10451	VAV3
3937	LCP2	7410	VAV2
3937	LCP2	7006	TEC
3937	LCP2	7454	WAS
3937	LCP2	27040	LAT
3937	LCP2	3702	ITK
608	TNFRSF17	10673	TNFSF13B
55173	MRPS10	60488	MRPS35
55173	MRPS10	10573	MRPL28
55173	MRPS10	51264	MRPL27
55173	MRPS10	64983	MRPL32
55173	MRPS10	51258	MRPL51
55173	MRPS10	51116	MRPS2
55173	MRPS10	51081	MRPS7
55173	MRPS10	65008	MRPL1
55173	MRPS10	51073	MRPL4
55173	MRPS10	64981	MRPL34
55173	MRPS10	64432	MRPS25
55173	MRPS10	55037	PTCD3
55173	MRPS10	26589	MRPL46
55173	MRPS10	29088	MRPL15
55173	MRPS10	64965	MRPS9
55173	MRPS10	23107	MRPS27
55173	MRPS10	4528	MTIF2
55173	MRPS10	11222	MRPL3
55173	MRPS10	51373	MRPS17
55173	MRPS10	64969	MRPS5
55173	MRPS10	28957	MRPS28
55173	MRPS10	63875	MRPL17
55173	MRPS10	51023	MRPS18C
55173	MRPS10	9553	MRPL33
55173	MRPS10	84340	GFM2
55173	MRPS10	54948	MRPL16
55173	MRPS10	6183	MRPS12
55173	MRPS10	54148	MRPL39
55173	MRPS10	28998	MRPL13
55173	MRPS10	64978	MRPL38
55173	MRPS10	51642	MRPL48
55173	MRPS10	65003	MRPL11
55173	MRPS10	56945	MRPS22
55173	MRPS10	92399	MRRF
55173	MRPS10	79590	MRPL24
55173	MRPS10	219927	MRPL21
55173	MRPS10	29074	MRPL18
55173	MRPS10	54516	MTRF1L
55173	MRPS10	65005	MRPL9
55173	MRPS10	64975	MRPL41
55173	MRPS10	64949	MRPS26
55173	MRPS10	64960	MRPS15
55173	MRPS10	64928	MRPL14
55173	MRPS10	55168	MRPS18A
55173	MRPS10	118487	CHCHD1
55173	MRPS10	51021	MRPS16
55173	MRPS10	6150	MRPL23
55173	MRPS10	219402	MTIF3
55173	MRPS10	9801	MRPL19
55173	MRPS10	64979	MRPL36
55173	MRPS10	51069	MRPL2
55173	MRPS10	64968	MRPS6
55173	MRPS10	54460	MRPS21
55173	MRPS10	65993	MRPS34
55173	MRPS10	57129	MRPL47
55173	MRPS10	85476	GFM1
