	mi2		
3565.5	9219.4	0.05988116	0.06197654
3565.5	9112.4	0.05984913	0.06194339
3565.5	10413.4	0.08267747	0.08557054
3565.5	331.4	0.09132306	0.09451866
3565.5	2395.4	0.001566268	0.001621075
3565.5	1434.4	0.02350399	0.02432645
3565.5	7328.4	0.08197198	0.08484036
3565.5	1019.4	0.1081854	0.1119711
3565.5	10492.4	0.04178405	0.04324617
3565.5	6416.4	0.1102784	0.1141372
3565.5	57404.4	0.03347563	0.03464702
3565.5	134266.4	0.02959228	0.03062778
3565.5	10447.4	0.05782017	0.05984343
3565.5	84333.4	0.04030983	0.04172036
3565.5	5770.4	0.05241489	0.054249
3565.5	1810.4	0.1542865	0.1596853
3565.5	51109.4	0.02083984	0.02156908
3565.5	80854.4	0.009703759	0.01004332
3565.5	3320.4	0	0
3565.5	27161.4	0.09513056	0.09845939
3565.5	8570.4	0.1182783	0.1224171
3565.5	64376.4	0.1275073	0.1319691
3565.5	81.4	0.02769847	0.0286677
3565.5	11335.4	0.0106324	0.01100445
3565.5	3209.4	0.07535514	0.07799199
3565.5	57226.4	0.03930968	0.04068522
3565.5	10797.4	0.0356069	0.03685286
3565.5	5310.4	0.0156986	0.01624793
3565.5	2547.4	0.02116889	0.02190964
3565.5	56889.4	0.02370932	0.02453896
3565.5	4288.4	0.006517962	0.00674604
3565.5	23089.4	0.01196641	0.01238514
3565.5	201626.4	0.05937483	0.06145249
3565.5	7531.4	0.1242508	0.1285987
3565.5	10146.4	0.02703691	0.027983
3565.5	55920.4	0.01409505	0.01458827
3565.5	5939.4	0.02761868	0.02858512
3565.5	9967.4	0.04124105	0.04268416
3565.5	10541.4	0.01446197	0.01496802
3565.5	283377.4	0.1162162	0.1202828
3565.5	64969.4	0.09487671	0.09819665
3565.5	51804.4	0.03794673	0.03927457
3565.5	9069.4	0.1518249	0.1571376
3565.5	7417.4	0.005849833	0.006054532
3565.5	518.4	0.03083578	0.03191479
3565.5	648.4	0.1500885	0.1553404
3565.5	54541.4	0.0415137	0.04296636
3565.5	829.4	0.1232395	0.1275519
3565.5	140609.4	0.06135529	0.06350225
3565.5	55500.4	0.04444304	0.0459982
3565.5	51762.4	0.1535615	0.1589349
3565.5	54741.4	0.06849674	0.0708936
3565.5	5725.4	0.02458391	0.02544416
3565.5	5326.4	0.1005684	0.1040875
3565.5	571.4	0.01499787	0.01552268
3565.5	6526.4	0.03661272	0.03789388
3565.5	3344.4	0.03831683	0.03965762
3565.5	51099.4	0.01163357	0.01204066
3565.5	60559.4	0.03108225	0.03216989
3565.5	56929.4	0.000388851	0.0004024578
3565.5	7322.4	0.02790055	0.02887686
3565.5	55299.4	0.007473453	0.007734966
3565.5	57579.4	0.07761975	0.08033584
3565.5	221937.4	0.007517784	0.007780848
3565.5	23099.4	0.08399711	0.08693636
3565.5	7436.4	0.03439049	0.03559389
3565.5	3251.4	0.1308976	0.135478
3565.5	9019.4	0.04715548	0.04880556
3565.5	11215.4	0.1498289	0.1550718
3565.5	163859.4	0.06689098	0.06923164
3565.5	5927.4	0.05633324	0.05830446
3565.5	84056.4	0.05640989	0.0583838
3565.5	11004.4	0.04948441	0.05121598
3565.5	150094.4	0.1120977	0.1160202
3565.5	100532731.4	0.00270521	0.002799871
3565.5	7321.4	0.01233683	0.01276853
3565.5	142891.4	0.06135529	0.06350225
3565.5	5049.4	0.04847032	0.0501664
3565.5	127933.4	0.01631048	0.01688122
3565.5	84614.4	0.01446828	0.01497456
3565.5	23344.4	0.08233565	0.08521676
3565.5	23049.4	0.05309126	0.05494904
3565.5	253461.4	0.1343005	0.139
3565.5	133619.4	0.08137214	0.08421953
3565.5	4090.4	0.1744607	0.1805655
3565.5	3572.4	0.05154009	0.05334359
3565.5	891.4	0.1506582	0.15593
3565.5	29969.4	0.08158755	0.08444248
3565.5	4289.4	0.006143266	0.006358233
3565.5	223082.4	0.1031519	0.1067614
3565.5	54662.4	0.01992132	0.02061841
3565.5	4810.4	0.01432303	0.01482422
3565.5	6451.4	0.03328438	0.03444908
3565.5	10981.4	0.02399632	0.02483601
3565.5	3151.4	0.008548576	0.00884771
3565.5	11130.4	0.08591087	0.08891708
3565.5	84437.4	0.1286902	0.1331933
3565.5	219527.4	0.1718037	0.1778155
3565.5	5604.4	0.003670123	0.003798549
3565.5	285190.4	0.03297822	0.0341322
3565.5	54532.4	0.04299702	0.04450159
3565.5	3696.4	0.0252957	0.02618085
3565.5	79618.4	0.05533549	0.0572718
3565.5	7552.4	0.0490973	0.05081533
3565.5	51307.4	0.09514427	0.09847358
3565.5	55432.4	0.001584809	0.001640265
3565.5	200894.4	0.01849493	0.01914211
3565.5	138151.4	0.04917796	0.0508988
3565.5	285855.4	0.06716557	0.06951585
3565.5	11193.4	0.06745024	0.06981048
3565.5	9107.4	0.1776398	0.1838558
3565.5	84172.4	0.003811748	0.00394513
3565.5	404672.4	0.009837843	0.01018209
3565.5	340481.4	0.06239404	0.06457735
3565.5	221823.4	0.00760602	0.007872172
3565.5	6434.4	0.02574436	0.02664521
3565.5	8999.4	0.007812056	0.008085417
3565.5	54813.4	0.02201097	0.02278118
3565.5	7756.4	0.01389259	0.01437873
3565.5	139411.4	0.02726797	0.02822214
3565.5	4163.4	0.006220199	0.006437858
3565.5	54811.4	0.04529439	0.04687935
3565.5	151887.4	0.07485938	0.07747888
3565.5	26137.4	0.1228515	0.1271503
3565.5	23429.4	0.1023457	0.105927
3565.5	55175.4	0.1027136	0.1063078
3565.5	53346.4	0.03679736	0.03808498
3565.5	349633.4	0.009603609	0.009939661
3565.5	8609.4	0.06809705	0.07047992
3565.5	7979.4	0.01972877	0.02041912
3565.5	25945.4	0.08920645	0.09232799
3565.5	63926.4	0.05898457	0.06104857
3565.5	55530.4	0.03685556	0.03814522
3565.5	84888.4	0.06218459	0.06436057
3565.5	7803.4	0.00231818	0.002399299
3565.5	11331.4	0.01086161	0.01124168
3565.5	11127.4	0.1358487	0.1406024
3565.5	54676.4	0.02189077	0.02265678
3565.5	51573.4	0.06176732	0.0639287
3565.5	79796.4	0.03584361	0.03709786
3565.5	2079.4	0.02303781	0.02384395
3565.5	1642.4	0.01977529	0.02046727
3565.5	253430.4	0.009180198	0.009501434
3565.5	153241.4	0.1034389	0.1070585
3565.5	3836.4	0.01802711	0.01865792
3565.5	79828.4	0.1057455	0.1094458
3565.5	161291.4	0.01294066	0.01339349
3565.5	165631.4	0.009066196	0.009383442
3565.5	389668.4	0.1296931	0.1342313
3565.5	3017.4	0.06200788	0.06417767
3565.5	3624.4	0.06061365	0.06273466
3565.5	4591.4	0.04417154	0.0457172
3565.5	6249.4	0.08528075	0.08826491
3565.5	1951.4	0.1401613	0.1450658
3565.5	11200.4	0.01031856	0.01067963
3565.5	7710.4	0.1189224	0.1230838
3565.5	2915.4	0.02391294	0.02474971
3565.5	54665.4	0.03991726	0.04131405
3565.5	115294.4	0.08485875	0.08782815
3565.5	10360.4	0.1323832	0.1370156
3565.5	729993.4	0.143743	0.1487729
3565.5	83759.4	0.02665513	0.02758785
3565.5	10969.4	0.0141996	0.01469647
3565.5	440026.4	0.08284357	0.08574245
3565.5	85019.4	0.01494804	0.0154711
3565.5	10129.4	0.02400205	0.02484193
3565.5	389015.4	0.09448522	0.09779147
3565.5	57405.4	0.02868602	0.02968981
3565.5	4522.4	0.1228324	0.1271305
3565.5	24145.4	0.03074313	0.03181891
3565.5	1946.4	0.02289609	0.02369728
3565.5	2239.4	0.02370713	0.02453669
3565.5	5191.4	0.04127085	0.04271501
3565.5	3823.4	0.1057934	0.1094954
3565.5	27329.4	0.05765113	0.05966848
3565.5	348158.4	0.1008161	0.1043438
3565.5	27166.4	0.03564067	0.03688782
3565.5	55303.4	0.05476135	0.05667757
3565.5	59084.4	0.1125774	0.1165167
3565.5	51340.4	0.04543229	0.04702207
3565.5	84804.4	0.1495651	0.1547987
3565.5	3988.4	0.01796097	0.01858946
3565.5	2850.4	0.1459802	0.1510884
3565.5	79155.4	0.03282382	0.0339724
3565.5	79738.4	0.04278461	0.04428173
3565.5	57691.4	0.1123124	0.1162424
3565.5	440519.4	0.1185938	0.1227437
3565.5	643155.4	0.007481532	0.007743327
3565.5	440107.4	0.1006064	0.1041268
3565.5	5593.4	0.1216012	0.1258563
3565.5	140690.4	0.01862064	0.01927222
3565.5	360.4	0.05000412	0.05175388
3565.5	10686.4	0.07381821	0.07640128
3565.5	9220.4	0.02423389	0.02508189
3565.5	29015.4	0.0362638	0.03753275
3565.5	55153.4	0.02673959	0.02767527
3565.5	170954.4	0.03716283	0.03846324
3565.5	10269.4	0.02501759	0.02589301
3565.5	961.4	0.04463824	0.04620024
3565.5	131601.4	0.02805585	0.02903758
3565.5	55893.4	0.1146968	0.1187103
1729.5	4282.4	0.07913903	0.08190828
1729.5	51719.4	0.009685284	0.01002419
1729.5	5243.4	0.1327486	0.1373938
1729.5	207.4	0.05458754	0.05649768
1729.5	4313.4	0.1247032	0.1290669
1729.5	4318.4	0.1430193	0.1480238
1729.5	596.4	0.04768802	0.04935674
1729.5	4609.4	0.09593561	0.09929262
1729.5	51552.4	0.03120067	0.03229245
1729.5	51014.4	0.02684869	0.02778818
1729.5	5594.4	0.02954205	0.03057579
1729.5	8895.4	0.04461991	0.04618127
1729.5	10776.4	0.07461344	0.07722433
1729.5	7328.4	0.04686198	0.04850179
1729.5	5310.4	0.07964851	0.0824356
1729.5	102.4	0.04148194	0.04293349
1729.5	7248.4	0.05860074	0.06065131
1729.5	5868.4	0.04863312	0.0503349
1729.5	3569.4	0.1189612	0.1231239
1729.5	131566.4	0.08290057	0.08580145
1729.5	3570.4	0.07160315	0.0741087
1729.5	4214.4	0.1461579	0.1512723
1729.5	3551.4	0.1184742	0.1226199
1729.5	2487.4	0.1259196	0.1303258
1729.5	130497.4	0.1904543	0.1971187
1729.5	4920.4	0.07913903	0.08190828
1729.5	23316.4	0.1621706	0.1678453
1729.5	26099.4	0.03362315	0.0347997
1729.5	79683.4	0.05562309	0.05756947
1729.5	5021.4	0.05042283	0.05218724
1729.5	1032.4	0.02021689	0.02092433
1641.5	9839.4	0.2646005	0.2738594
1641.5	51719.4	0.1738931	0.179978
1641.5	5728.4	0.5202342	0.5384384
1641.5	6935.4	0.2838935	0.2938275
1641.5	473.4	0.3740162	0.3871038
1641.5	2033.4	0.4277116	0.4426782
1641.5	4602.4	0.5960621	0.6169196
1641.5	7422.4	0.1833054	0.1897196
1641.5	10499.4	0.2663129	0.2756317
1641.5	2146.4	0.5927589	0.6135009
1641.5	10810.4	0.5322716	0.550897
1641.5	3091.4	0.3539771	0.3663636
1641.5	23414.4	0.3539893	0.3663762
